,POLICY_BEGIN_MONTH,POLICY_END_MONTH,POLICY_SALES_CHANNEL,POLICY_SALES_CHANNEL_GROUP,POLICY_BRANCH,POLICY_MIN_AGE,POLICY_MIN_DRIVING_EXPERIENCE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_ENGINE_POWER,VEHICLE_IN_CREDIT,VEHICLE_SUM_INSURED,POLICY_INTERMEDIARY,INSURER_GENDER,POLICY_CLM_N,POLICY_CLM_GLT_N,POLICY_PRV_CLM_N,POLICY_PRV_CLM_GLT_N,CLIENT_HAS_DAGO,CLIENT_HAS_OSAGO,POLICY_COURT_SIGN,CLAIM_AVG_ACC_ST_PRD,POLICY_HAS_COMPLAINTS,POLICY_YEARS_RENEWED_N,POLICY_DEDUCT_VALUE,CLIENT_REGISTRATION_REGION,POLICY_PRICE_CHANGE
46509,3,3,50,5,Санкт-Петербург,40,13,Nissan,Qashqai,141.0,0,470040.0,N,M,0,0,0,0,1,1,0,0.0,0,6,0.0,Ленинградская,-0.11
46515,8,8,50,5,Москва,28,10,Mitsubishi,Pajero Sport,178.0,0,1124550.0,N,M,0,0,0,0,1,1,0,0.0,0,3,15000.0,Москва,0.0
46525,3,3,53,6,Москва,35,8,Hyundai,i30,130.0,1,723240.0,587,F,0,0,1L,0,0,0,0,0.0,0,1,10000.0,Москва,-0.24
46529,4,4,50,5,Санкт-Петербург,34,15,Datsun,on-DO,87.0,0,410000.0,N,M,0,0,N,N,0,0,0,0.0,0,0,30000.0,Санкт-Петербург,-0.23
46534,4,4,15,1,Москва,39,19,Ford,Explorer,294.0,0,791000.0,1122,M,0,0,0,0,1,1,0,0.0,0,3,0.0,Москва,-0.12
46536,3,2,53,6,Москва,65,34,Kia,Cerato,130.0,0,512418.0,297,M,0,0,0,0,0,0,0,0.0,0,1,0.0,Смоленская,0.03
46537,8,8,50,5,Москва,36,17,Toyota,Land Cruiser Prado,163.0,0,1100000.0,N,F,0,0,0,0,0,0,0,0.0,0,1,30000.0,Московская,0.0
46543,9,9,10,1,Москва,31,11,Kia,Sportage,150.0,0,700000.0,765,F,0,0,N,N,0,1,0,0.0,0,0,15000.0,Московская,-0.03
46547,10,10,10,1,Москва,61,19,Renault,Duster,135.0,0,571962.0,1072,F,1L,1L,1S,0,1,0,0,7.0,0,1,0.0,Москва,0.59
46553,3,3,52,6,Санкт-Петербург,46,20,BMW,X5,190.0,0,2490000.0,6,M,1S,1S,N,N,0,1,0,0.0,0,0,0.0,Калининградская,0.03
46558,3,3,52,6,Москва,36,3,Kia,Rio,107.0,1,582900.0,1372,F,2,1L,N,N,1,0,0,5.5,0,0,0.0,Владимирская,0.09
46575,10,10,50,5,Санкт-Петербург,49,18,Opel,Mokka,140.0,1,820000.0,N,F,1L,0,0,0,0,1,0,7.0,0,1,0.0,Санкт-Петербург,0.05
46581,3,3,50,5,Санкт-Петербург,44,20,Renault,Duster,135.0,0,600000.0,N,M,0,0,N,N,0,0,0,8.0,0,0,12500.0,Санкт-Петербург,-0.24
46582,8,8,53,6,Санкт-Петербург,31,13,Hyundai,Solaris,107.0,0,463900.0,485,M,0,0,N,N,0,1,0,0.0,0,0,10000.0,Санкт-Петербург,0.0
46601,4,4,8,4,Санкт-Петербург,36,18,Peugeot,3008,150.0,0,762570.0,94,M,0,0,N,N,0,0,0,0.0,0,0,30000.0,Санкт-Петербург,-0.32
46611,5,5,50,5,Москва,36,9,Toyota,Auris,124.0,0,372884.0,N,M,0,0,0,0,0,0,0,0.0,0,3,30000.0,Москва,0.01
46619,3,3,50,5,Москва,31,12,Toyota,Camry,181.0,0,1600000.0,N,M,1S,1S,N,N,1,1,0,0.0,0,0,0.0,Москва,-0.4
46649,3,3,6,4,Санкт-Петербург,37,8,Hyundai,Solaris,107.0,0,397379.0,190,F,0,0,0,0,0,1,0,0.0,0,2,10000.0,Ленинградская,0.02
46655,9,9,52,6,Москва,46,17,Renault,Duster,135.0,1,591125.0,326,F,0,0,1L,1L,1,0,0,0.0,0,2,0.0,Москва,-0.03
46656,10,10,52,6,Москва,31,11,Ford,Focus,105.0,1,529023.0,326,F,0,0,1L,0,0,0,0,0.0,0,2,0.0,Московская,0.0
46657,4,4,53,6,Москва,74,10,Skoda,Fabia,69.0,0,398729.0,264,M,0,0,0,0,0,0,0,0.0,0,1,0.0,Москва,0.05
46662,4,4,52,6,Москва,31,9,Opel,Mokka,140.0,1,800000.0,205,M,0,0,N,N,1,0,0,0.0,0,0,0.0,Тверская,-0.51
46663,8,8,55,6,Москва,38,17,Hyundai,ix35,150.0,1,1109900.0,1096,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Москва,-0.3
46665,9,9,53,6,Санкт-Петербург,53,14,Hyundai,i30,130.0,0,742000.0,1200,F,0,0,N,N,0,0,0,0.0,0,0,0.0,Санкт-Петербург,-0.48
46671,11,11,46,1,Санкт-Петербург,45,6,Toyota,Auris,124.0,0,450000.0,1292,F,1S,1S,0,0,1,1,0,10.0,0,4,5000.0,Санкт-Петербург,0.05
46683,3,3,50,5,Москва,34,15,Toyota,Camry,181.0,0,686300.0,N,M,0,0,0,0,1,1,0,0.0,0,3,0.0,N,0.0
46690,4,4,11,1,Санкт-Петербург,47,6,Hyundai,Solaris,123.0,0,392850.0,127,F,0,0,1S,1S,0,1,0,0.0,0,2,0.0,Санкт-Петербург,0.05
46692,11,11,50,5,Москва,28,7,Mitsubishi,Outlander,167.0,0,1265000.0,N,M,0,0,N,N,0,1,0,0.0,0,0,30000.0,Москва,-0.41
46695,9,9,50,5,Москва,53,16,Volvo,XC90,210.0,0,1800000.0,N,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Москва,0.0
46703,9,9,6,4,Санкт-Петербург,34,13,Nissan,Qashqai,141.0,1,754177.0,376,F,1L,0,3,3,0,0,0,13.0,0,1,0.0,Санкт-Петербург,0.08
46704,9,9,54,6,Москва,28,4,BMW,X1,184.0,0,1236315.0,344,F,2,1S,N,N,0,0,0,14.5,0,0,0.0,Москва,-0.05
46706,9,9,55,6,Москва,46,13,Toyota,RAV4,146.0,0,1412500.0,1096,F,0,0,N,N,0,0,0,0.0,0,0,0.0,Московская,0.12
46708,10,10,52,6,Санкт-Петербург,46,8,Kia,Sportage,150.0,1,869523.0,261,M,0,0,1L,1L,0,1,0,0.0,0,1,10000.0,Ленинградская,0.0
46710,3,3,52,6,Санкт-Петербург,64,5,Volkswagen,Polo,105.0,0,570000.0,330,M,0,0,N,N,0,1,0,0.0,0,0,10000.0,Санкт-Петербург,-0.18
46714,3,3,53,6,Москва,49,25,Jeep,Grand Cherokee,243.0,0,3052500.0,1397,M,1S,1S,N,N,0,1,0,23.0,0,0,0.0,Московская,0.4
46719,5,5,50,5,Москва,38,13,Hyundai,Solaris,123.0,0,527700.0,N,M,0,0,0,0,1,1,0,0.0,0,1,10000.0,Москва,-0.19
46736,8,8,53,6,Санкт-Петербург,55,25,Kia,Rio,123.0,0,615900.0,485,M,1L,1L,N,N,0,1,0,0.0,0,0,0.0,Санкт-Петербург,0.17
46748,6,6,50,5,Санкт-Петербург,53,34,Mitsubishi,Outlander XL,170.0,0,671800.0,N,M,0,0,1L,1L,0,1,0,0.0,0,6,50000.0,Санкт-Петербург,-0.16
46755,6,6,50,5,Москва,52,21,Ssang Yong,Actyon,149.0,0,650000.0,N,F,0,0,N,N,1,1,0,0.0,0,0,12500.0,Московская,-0.27
46757,8,8,52,6,Санкт-Петербург,52,0,Chevrolet,Cruze,109.0,1,578000.0,554,M,1S,1S,N,N,0,1,0,0.0,0,0,0.0,Ленинградская,-1.0
46760,1,1,55,6,Москва,36,5,Kia,Sportage,150.0,1,955623.0,1252,M,0,0,1L,0,1,1,0,12.0,0,1,0.0,Москва,0.04
46766,10,10,53,6,Санкт-Петербург,46,8,Toyota,RAV4,170.0,0,1089211.0,481,F,0,0,0,0,0,0,0,0.0,0,3,0.0,Санкт-Петербург,0.0
46773,8,8,53,6,Санкт-Петербург,35,12,Skoda,Superb,152.0,1,1065000.0,641,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Санкт-Петербург,-0.07
46774,10,9,55,6,Москва,42,9,Mitsubishi,ASX,140.0,1,708472.0,1096,F,0,0,0,0,0,1,0,0.0,0,1,0.0,Москва,0.01
46775,9,9,53,6,Санкт-Петербург,24,3,Hyundai,Solaris,123.0,1,553900.0,485,F,3,3,N,N,0,1,0,18.25,0,0,0.0,Ленинградская,0.81
46797,8,8,52,6,Москва,45,15,Kia,Sportage,150.0,1,881627.0,326,F,1S,0,1S,1S,1,1,0,9.0,0,2,0.0,Москва,0.0
46804,4,4,53,6,Москва,41,9,Renault,Duster,135.0,0,550034.0,528,M,0,0,0,0,0,1,0,0.0,0,2,0.0,Москва,0.0
46806,9,9,53,6,Москва,39,17,Chevrolet,Captiva,167.0,1,912660.0,1397,M,0,0,2,1L,0,0,0,0.0,0,1,0.0,Московская,0.13
46810,9,9,53,6,Санкт-Петербург,40,7,Kia,Rio,107.0,1,567000.0,485,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Ленинградская,-0.47
46811,9,9,6,4,Санкт-Петербург,32,10,Toyota,Land Cruiser 150,173.0,1,1610000.0,1330,M,0,0,0,0,1,0,0,0.0,0,2,0.0,Санкт-Петербург,0.0
46812,9,9,52,6,Санкт-Петербург,43,19,Opel,Astra,139.0,0,618000.0,245,M,0,0,0,0,0,1,0,0.0,0,3,0.0,Санкт-Петербург,0.05
46817,12,12,50,5,Москва,31,10,Kia,Sportage,150.0,1,854000.0,N,M,0,0,0,0,1,1,0,0.0,0,1,0.0,Московская,0.11
46819,8,8,54,6,Москва,51,21,Volvo,XC70,181.0,1,1720000.0,704,M,4+,4+,N,N,0,0,0,45.5,0,0,0.0,Москва,-1.0
46829,10,10,1,4,Санкт-Петербург,23,4,Volkswagen,Golf,122.0,0,620000.0,66,M,0,0,N,N,1,1,0,0.0,0,0,20000.0,Санкт-Петербург,-0.2
46836,8,8,52,6,Москва,63,27,Ford,Kuga,150.0,0,884370.0,326,M,1L,1L,0,0,0,0,0,28.0,0,1,0.0,Московская,-0.31
46837,8,8,52,6,Москва,48,26,Ford,Focus,105.0,1,420220.0,326,M,0,0,2,0,0,0,0,0.0,0,2,0.0,Калужская,-0.12
46849,9,9,53,6,Санкт-Петербург,48,29,Volkswagen,Touareg,204.0,0,2591100.0,519,M,0,0,N,N,1,0,0,0.0,0,0,0.0,Санкт-Петербург,-1.0
46852,4,4,50,5,Москва,35,12,Volkswagen,Polo,105.0,0,424714.0,N,F,0,0,0,0,1,1,0,0.0,0,1,30000.0,Москва,-0.06
46864,7,7,53,6,Санкт-Петербург,34,11,BMW,X1,184.0,1,1266900.0,1211,M,1S,1S,1L,1L,0,1,0,2.0,0,1,30000.0,Санкт-Петербург,-1.0
46867,5,5,52,6,Санкт-Петербург,35,16,Skoda,Octavia,80.0,0,369000.0,330,M,0,0,0,0,0,1,0,0.0,0,4,15000.0,Санкт-Петербург,-0.11
46871,7,7,50,5,Москва,32,5,Opel,Corsa,101.0,0,607000.0,N,F,0,0,1L,1L,1,0,0,0.0,0,1,10000.0,Москва,-0.31
46877,3,3,53,6,Санкт-Петербург,37,19,Volkswagen,Golf,220.0,0,1200000.0,224,M,1S,1S,1S,1S,0,0,0,5.0,0,1,0.0,Санкт-Петербург,0.02
46881,12,12,52,6,Санкт-Петербург,37,11,Skoda,Yeti,105.0,0,652050.0,782,M,0,0,0,0,0,1,0,0.0,0,3,10000.0,Санкт-Петербург,0.09
46883,12,12,54,6,Москва,30,11,Honda,CR-V,166.0,0,542771.0,1323,M,0,0,0,0,0,0,0,0.0,0,6,0.0,Москва,0.05
46886,5,5,50,5,Москва,30,6,ВАЗ,1117 Kalina,98.0,0,290000.0,N,M,0,0,0,0,1,1,0,0.0,0,4,0.0,Москва,0.21
46892,9,9,52,6,Санкт-Петербург,46,14,BMW,X3,218.0,0,937186.0,1223,M,0,0,2,1L,0,0,0,0.0,0,4,0.0,Санкт-Петербург,0.0
46900,12,12,55,6,Москва,32,12,Mitsubishi,Outlander,230.0,0,1385000.0,1096,F,0,0,N,N,1,1,0,0.0,0,0,0.0,N,0.33
46907,8,8,50,5,Санкт-Петербург,26,6,Toyota,Camry,181.0,0,846090.0,N,F,0,0,0,0,0,1,0,0.0,0,2,0.0,Ленинградская,0.0
46921,5,5,52,6,Санкт-Петербург,30,11,Volkswagen,Tiguan,170.0,1,1396000.0,7,F,3,2,N,N,0,0,0,4.666666667,0,0,0.0,Санкт-Петербург,-0.06
46925,5,5,53,6,Санкт-Петербург,50,13,Honda,CR-V,150.0,0,819000.0,89,F,0,0,1L,0,1,0,0,0.0,0,3,0.0,Ленинградская,0.03
46927,4,4,50,5,Санкт-Петербург,40,6,Chevrolet,Trailblazer,180.0,1,1337600.0,N,M,0,0,0,0,1,1,0,0.0,0,1,0.0,Ленинградская,0.0
46933,5,5,53,6,Санкт-Петербург,37,15,Land Rover,Range Rover Evoque,190.0,1,1999000.0,1199,M,1S,1S,1S,1S,0,1,0,4.0,0,1,0.0,Санкт-Петербург,0.05
46935,6,6,55,6,Москва,53,32,Renault,Duster,135.0,1,524144.0,1252,M,0,0,0,0,0,0,0,0.0,0,2,0.0,Москва,-0.13
46937,5,5,55,6,Москва,45,7,Hyundai,Santa Fe,175.0,0,1198840.0,N,M,1L,1L,0,0,1,1,0,15.0,0,2,20000.0,Москва,-0.01
46940,9,9,36,1,Санкт-Петербург,65,34,Hyundai,i30,130.0,0,585480.0,501,M,0,0,0,0,0,0,0,0.0,0,1,12500.0,Ленинградская,-0.05
46953,5,5,50,5,Москва,35,13,Nissan,Juke,117.0,0,713900.0,N,M,0,0,0,0,1,1,0,0.0,0,1,10000.0,Московская,-0.32
46957,12,12,52,6,Санкт-Петербург,37,6,Kia,Picanto,69.0,0,479900.0,1188,M,0,0,N,N,0,1,0,0.0,0,0,15000.0,Санкт-Петербург,0.04
46961,4,4,50,5,Санкт-Петербург,54,27,Fiat,Ducato,120.0,0,1067640.0,N,M,0,0,1L,1L,0,1,0,0.0,0,1,15000.0,Санкт-Петербург,-0.24
46967,8,8,52,6,Санкт-Петербург,38,8,Toyota,Verso,147.0,0,850000.0,234,M,0,0,N,N,1,0,0,0.0,0,0,0.0,Санкт-Петербург,0.0
46978,5,5,52,6,Москва,60,11,Toyota,RAV4,146.0,0,826560.0,910,M,0,0,0,0,0,0,0,0.0,0,1,0.0,Московская,0.1
46990,5,5,53,6,Санкт-Петербург,40,12,Ford,EcoSport,122.0,1,892600.0,381,M,0,0,N,N,0,1,0,0.0,0,0,15000.0,Санкт-Петербург,-0.33
46992,12,12,54,6,Москва,47,17,Volvo,S60,140.0,0,535500.0,N,M,0,0,0,0,0,1,0,0.0,0,6,0.0,Москва,0.06
46995,1,1,50,5,Москва,38,15,Hyundai,ix55,250.0,0,1190000.0,N,M,0,0,0,0,1,1,0,1.0,0,1,10000.0,Московская,-0.11
46996,1,1,50,5,Москва,32,10,Renault,Megane,114.0,0,516600.0,N,M,1S,1S,0,0,0,1,0,5.0,0,1,0.0,Московская,0.0
47003,12,12,50,5,Москва,38,13,Mitsubishi,Pajero,178.0,0,1927000.0,N,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Московская,-0.02
47015,9,9,11,1,Санкт-Петербург,27,8,Hyundai,Solaris,123.0,0,564386.0,474,F,1L,1L,2,2,1,1,0,1.0,0,1,15000.0,Ленинградская,-0.05
47026,9,9,54,6,Москва,29,11,Toyota,RAV4,148.0,0,1003610.0,1253,M,0,0,0,0,0,0,0,0.0,0,2,10000.0,Калужская,0.0
47027,7,7,50,5,Москва,47,19,Volkswagen,Tiguan,170.0,0,1166000.0,N,M,1L,1L,0,0,0,1,0,1.0,0,1,0.0,Москва,0.05
47032,1,1,10,1,Москва,41,14,Peugeot,RCZ,150.0,0,844198.0,1036,M,1L,1L,1S,1S,1,1,0,1.0,0,3,0.0,Москва,0.5
47036,6,6,50,5,Москва,28,9,Volkswagen,Golf,122.0,0,793800.0,N,M,0,0,0,0,1,1,0,0.0,0,2,15000.0,Москва,0.07
47037,4,4,53,6,Санкт-Петербург,38,10,Audi,Q5,177.0,0,2450000.0,1214,F,3,3,N,N,1,1,0,0.0,0,0,0.0,Санкт-Петербург,0.75
47039,5,5,52,6,Санкт-Петербург,31,3,Kia,Ceed,129.0,0,714500.0,245,F,0,0,1S,1S,0,1,0,0.0,0,1,0.0,Ленинградская,-0.09
47043,6,6,53,6,Москва,24,4,Ford,Focus,100.0,0,333423.0,587,F,1S,1S,0,0,1,0,0,48.0,0,4,0.0,Москва,-0.56
47047,3,3,55,6,Москва,32,9,Kia,Ceed,122.0,0,375948.0,N,M,1L,1L,0,0,1,0,0,1.0,0,5,0.0,Москва,0.43
47051,9,9,54,6,Москва,36,10,BMW,5-series,184.0,1,1390000.0,703,M,0,0,N,N,0,0,0,0.0,0,0,30000.0,Московская,0.0
47058,5,5,52,6,Санкт-Петербург,47,10,BMW,X1,150.0,1,1100000.0,6,F,0,0,0,0,0,0,0,0.0,0,1,0.0,Санкт-Петербург,0.05
47063,6,6,4,4,Санкт-Петербург,53,22,Renault,Duster,102.0,1,459532.0,59,M,0,0,1S,1S,0,0,0,0.0,0,2,0.0,Ленинградская,0.05
47064,3,3,54,6,Москва,64,26,BMW,X3,184.0,1,1635900.0,1253,F,0,0,0,0,0,0,0,0.0,0,1,0.0,Московская,-1.0
47068,5,5,52,6,Санкт-Петербург,57,25,Toyota,Land Cruiser 150,173.0,0,1721652.0,1253,M,2,2,1S,1S,0,1,0,5.0,0,2,0.0,Санкт-Петербург,2.19
47072,6,6,7,4,Санкт-Петербург,58,29,Subaru,Forester,171.0,0,891000.0,1227,M,0,0,0,0,0,1,0,0.0,0,4,15000.0,Санкт-Петербург,0.0
47078,6,6,50,5,Москва,30,6,Kia,Sportage,150.0,0,933930.0,N,M,0,0,0,0,1,1,0,0.0,0,2,30000.0,Москва,0.13
47089,5,5,14,1,Москва,29,9,Mercedes-Benz,GLK,250.0,0,1507968.0,1049,M,0,0,0,0,1,1,0,0.0,0,2,30000.0,Алтай,0.16
47090,5,5,50,5,Москва,33,14,Ford,Focus,125.0,0,400000.0,N,M,1L,1L,N,N,0,1,0,104.0,0,0,12500.0,Московская,-0.57
47092,5,5,55,6,Москва,36,17,Hyundai,Santa Fe,175.0,0,1274464.0,1096,M,0,0,0,0,0,1,0,0.0,0,2,0.0,Москва,0.25
47093,6,6,15,1,Москва,51,22,Ford,Fiesta,80.0,0,296370.0,1019,F,0,0,0,0,1,1,0,0.0,0,2,7500.0,Москва,0.15
47108,6,6,53,6,Санкт-Петербург,55,12,Hyundai,ix35,150.0,1,893718.0,917,F,0,0,0,0,0,1,0,0.0,0,1,0.0,Санкт-Петербург,0.05
47112,7,7,25,1,Москва,31,13,Hyundai,ix35,150.0,0,722500.0,705,F,1L,1L,N,N,0,1,0,1.0,0,0,0.0,Москва,0.35
47115,9,9,53,6,Москва,53,23,Renault,Megane,106.0,0,456350.0,528,M,0,0,0,0,1,1,0,0.0,0,3,0.0,Московская,0.0
47128,10,10,45,1,Санкт-Петербург,73,40,Kia,Rio,107.0,0,386334.0,149,M,0,0,0,0,0,1,0,0.0,0,2,0.0,Санкт-Петербург,0.0
47151,10,10,18,1,Москва,34,16,Kia,Sportage,136.0,0,823650.0,673,M,1S,1S,N,N,0,0,0,1.0,0,0,0.0,Московская,-0.03
47155,10,10,5,4,Москва,37,11,Volvo,XC60,203.0,0,1017552.0,N,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Москва,-0.01
47167,8,8,50,5,Москва,33,3,Suzuki,SX4,107.0,0,405000.0,N,F,0,0,0,0,1,1,0,0.0,0,2,10000.0,Москва,0.0
47171,10,10,53,6,Москва,47,11,Renault,Megane,106.0,1,490670.0,528,M,0,0,0,0,0,1,0,0.0,0,1,0.0,Москва,0.0
47175,6,6,33,1,Санкт-Петербург,29,7,Renault,Fluence,106.0,1,544480.0,257,M,1S,1S,0,0,0,1,0,0.0,0,1,10000.0,Ленинградская,-0.54
47176,1,1,55,6,Москва,37,17,Hyundai,ix35,150.0,0,1080000.0,1096,F,0,0,N,N,0,1,0,0.0,0,0,0.0,Москва,-0.05
47177,9,9,54,6,Москва,31,12,BMW,X3,184.0,0,2030000.0,400,F,0,0,N,N,0,0,0,0.0,0,0,0.0,Москва,-0.01
47178,2,2,55,6,Москва,57,3,Mitsubishi,ASX,140.0,1,721592.0,1096,M,2,2,0,0,0,0,0,164.0,0,1,0.0,Московская,-0.14
47182,4,4,42,1,Москва,48,14,Audi,Q3,170.0,0,998854.0,927,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Московская,0.04
47186,6,6,50,5,Москва,37,13,Mitsubishi,Lancer X,143.0,0,453550.0,N,F,0,0,0,0,1,1,0,0.0,0,4,5000.0,Москва,0.05
47190,6,6,55,6,Москва,38,14,BMW,X5,313.0,1,4750000.0,469,F,1S,1S,N,N,1,1,0,3.0,0,0,0.0,Московская,-0.13
47209,12,12,50,5,Москва,34,16,Nissan,Murano,249.0,0,980100.0,N,M,0,0,0,0,0,1,0,0.0,0,2,20000.0,Московская,-0.1
47214,7,7,52,6,Санкт-Петербург,51,15,Renault,Logan,87.0,0,214326.0,1096,M,0,0,0,0,0,0,0,0.0,0,3,0.0,Санкт-Петербург,0.05
47216,1,1,53,6,Москва,44,14,Lada,Largus,105.0,0,306889.0,322,F,0,0,0,0,0,1,0,0.0,0,2,0.0,Москва,-0.01
47233,2,2,53,6,Санкт-Петербург,52,10,Nissan,Juke,117.0,0,705200.0,1316,F,0,0,0,0,1,1,0,0.0,0,1,0.0,Санкт-Петербург,0.05
47242,7,7,52,6,Санкт-Петербург,48,23,Nissan,Qashqai,144.0,1,1013270.0,965,F,0,0,1S,1S,0,0,0,0.0,0,1,0.0,Санкт-Петербург,0.1
47244,7,7,52,6,Санкт-Петербург,53,1999,Ford,Focus,125.0,0,500000.0,493,F,0,0,N,N,0,0,0,0.0,0,0,15000.0,Санкт-Петербург,-0.09
47245,7,7,55,6,Москва,48,1,Hyundai,Solaris,107.0,0,495198.0,1252,F,0,0,3,3,1,1,0,0.0,0,1,15000.0,Москва,-0.44
47250,1,1,52,6,Москва,38,9,Kia,Sportage,150.0,0,750300.0,910,F,0,0,1L,0,0,1,0,0.0,0,1,0.0,Москва,0.0
47255,5,5,50,5,Санкт-Петербург,33,6,Nissan,Murano,249.0,0,982500.0,N,M,0,0,0,0,1,1,0,0.0,0,1,30000.0,Санкт-Петербург,-0.14
47256,12,12,10,1,Санкт-Петербург,40,16,Chevrolet,Lacetti,109.0,0,345015.0,1157,M,0,0,0,0,1,1,0,0.0,0,3,0.0,Санкт-Петербург,0.14
47263,9,9,53,6,Санкт-Петербург,42,18,Honda,CR-V,150.0,1,890000.0,89,M,0,0,0,0,0,0,0,0.0,0,2,0.0,Санкт-Петербург,0.07
47264,1,1,55,6,Москва,59,38,Mitsubishi,ASX,140.0,1,692072.0,1096,M,0,0,1L,0,0,1,0,0.0,0,1,0.0,Москва,0.05
47265,2,2,53,6,Санкт-Петербург,38,13,Hyundai,ix35,150.0,0,1103900.0,946,F,0,0,N,N,1,0,0,0.0,0,0,0.0,Санкт-Петербург,-0.42
47266,8,8,50,5,Санкт-Петербург,28,10,Skoda,Superb,200.0,0,975800.0,N,M,0,0,0,0,1,1,0,0.0,0,2,25000.0,Ленинградская,0.0
47272,10,10,59,3,Санкт-Петербург,60,22,Audi,Q7,245.0,0,2086389.0,565,F,2,2,2,2,1,0,0,0.0,0,2,0.0,Санкт-Петербург,0.0
47283,8,8,53,6,Москва,44,16,Skoda,Rapid,105.0,1,735000.0,264,F,1S,1S,N,N,0,0,0,1.0,0,0,0.0,Московская,0.01
47297,8,8,53,6,Санкт-Петербург,54,26,Nissan,Juke,117.0,0,706000.0,1346,F,0,0,0,0,1,1,0,0.0,0,2,0.0,Санкт-Петербург,0.0
47318,9,9,50,5,Санкт-Петербург,55,21,Nissan,X-Trail,141.0,0,660150.0,N,M,0,0,0,0,0,0,0,0.0,0,2,0.0,Санкт-Петербург,0.03
47334,8,8,53,6,Санкт-Петербург,53,5,Renault,Duster,135.0,1,756000.0,1276,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Санкт-Петербург,0.0
47335,10,10,53,6,Санкт-Петербург,40,9,Mitsubishi,ASX,140.0,1,806871.0,1200,F,0,0,1S,1S,1,0,0,0.0,0,1,0.0,Санкт-Петербург,0.07
47338,3,3,53,6,Санкт-Петербург,41,13,Audi,A6,190.0,0,936000.0,948,M,0,0,1L,0,0,0,0,0.0,0,4,0.0,Санкт-Петербург,0.0
47347,9,9,52,6,Санкт-Петербург,47,19,Skoda,Fabia,86.0,0,342073.0,1096,M,0,0,0,0,0,1,0,0.0,0,3,0.0,Санкт-Петербург,0.0
47355,3,3,53,6,Москва,29,0,Opel,Insignia,140.0,0,1000000.0,1397,M,1L,1L,N,N,0,0,0,5.0,0,0,15000.0,Московская,-0.12
47357,4,4,52,6,Москва,51,29,Volkswagen,Touareg,204.0,1,1419411.0,N,M,1L,1L,1L,1L,1,1,0,8.0,0,3,10000.0,N,0.42
47359,1,1,55,6,Москва,37,6,Renault,Duster,135.0,1,599338.0,496,M,1L,1L,1S,1S,0,1,0,13.0,0,1,0.0,Москва,-0.47
47360,6,6,57,7,Москва,34,16,Mitsubishi,Pajero,165.0,0,758790.0,N,M,0,0,1S,1S,1,1,0,0.0,0,8,0.0,Москва,0.16
47368,12,12,55,6,Москва,58,20,BMW,3-series GT,184.0,1,1699000.0,469,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Москва,0.04
47369,12,12,53,6,Санкт-Петербург,31,9,Kia,Soul,123.0,1,944900.0,485,F,0,0,N,N,0,1,0,0.0,0,0,10000.0,Санкт-Петербург,-0.16
47380,9,9,50,5,Москва,45,23,Ford,Galaxy,160.0,0,1075000.0,N,M,0,0,0,0,1,1,0,0.0,0,3,0.0,Москва,0.0
47382,11,11,23,1,Санкт-Петербург,49,17,Nissan,Qashqai,141.0,0,970000.0,1158,F,1S,1S,0,0,0,1,0,4.0,0,3,0.0,Санкт-Петербург,0.05
47386,12,12,18,1,Москва,36,16,BMW,X5,245.0,0,1912500.0,826,F,0,0,N,N,1,1,0,0.0,0,0,0.0,Москва,-0.01
47394,5,5,60,3,Москва,43,19,Mitsubishi,Outlander,146.0,1,874727.0,1250,F,0,0,0,0,1,0,0,0.0,0,2,0.0,Московская,0.0
47397,7,7,50,5,Москва,39,4,Chevrolet,Tahoe,325.0,0,898200.0,N,M,0,0,0,0,0,1,0,0.0,0,1,0.0,Москва,-1.0
47398,7,7,50,5,Санкт-Петербург,30,5,Toyota,RAV4,180.0,0,1518000.0,N,F,0,0,N,N,1,1,0,0.0,0,0,30000.0,Санкт-Петербург,-0.2
47401,8,8,54,6,Москва,48,17,BMW,3-series,136.0,1,1250000.0,703,F,0,0,N,N,0,0,0,0.0,0,0,30000.0,Московская,-0.09
47403,8,8,55,6,Москва,44,9,Mitsubishi,Outlander XL,146.0,0,814793.0,1096,F,1S,1S,0,0,0,0,0,1.0,0,1,0.0,Москва,0.46
47412,12,12,52,6,Москва,38,9,Skoda,Fabia,105.0,1,453924.0,326,F,0,0,0,0,0,1,0,0.0,0,1,0.0,Москва,-0.42
47425,11,11,52,6,Москва,28,8,Kia,Rio,123.0,0,491918.0,1372,F,3,2,4+,4+,0,0,0,9.666666667,0,1,0.0,Липецкая,1.27
47426,12,12,55,6,Москва,31,7,Mitsubishi,ASX,140.0,1,755623.0,1096,F,1L,1L,0,0,0,1,0,5.0,0,1,0.0,Москва,-0.01
